species,temp_opt_min,Temp_Opt_Max,Rain_Opt_Min,Rain_Opt_Max,Lat_Opt_Min,Lat_Opt_Max,Alt_Opt_Min,Alt_Opt_Max,pH_Opt_Min,pH_Opt_Max,Light_Opt_Min,Light_Opt_Max,Texture_Ops
Poa trivialis,10,24,600,1000,35,30,---,---,5.5,6.5,cloudy skies,light shade,medium
Podocarpus elatus,18,30,1000,1500,14,12,---,---,5.5,6.5,very bright,clear skies,"heavy, medium, light"
Poeciloneuron indicum,30,37,4000,6000,-,-,---,---,5,6,very bright,clear skies,"heavy, medium"
Polyalthia fragrans,30,35,3000,5000,5,5,---,---,5.5,6.5,very bright,cloudy skies,medium
Polymnia sonchifolia,12,22,800,1200,-,-,---,---,5.5,6.5,very bright,clear skies,medium
Populus euphratica,20,40,200,300,-,-,---,---,5.5,7,very bright,very bright,medium
Populus simonii,15,25,400,600,35,35,---,---,7,8,very bright,very bright,light
Portulaca quadrifida L.,22,32,1500,2000,-,-,---,---,5.5,6.5,very bright,very bright,"medium, light"
Pouteria lucuma,21,27,900,1500,-,-,---,---,6.5,7.5,very bright,very bright,"medium, light, organic"
Pouteria sapota,24,30,2000,3300,10,-,---,---,6,6.5,clear skies,cloudy skies,"heavy, medium"
Prosopis africana,22,35,300,500,5,5,---,---,5.5,7,very bright,very bright,"heavy, medium, light, wide"
Prosopis chilensis,22,30,300,500,5,15,---,---,6.5,7.5,very bright,very bright,"medium, light"
Prosopis cineraria,28,45,400,800,10,10,---,---,6.5,8.5,very bright,very bright,"heavy, medium, light"
Prosopis juliflora,22,35,300,750,-,-,---,---,6.5,7.5,very bright,very bright,"medium, light"
Prosopis pallida,22,28,500,1000,-,-,---,---,5.5,6,very bright,very bright,"heavy, medium, light"
Prosopis spicigera,25,35,250,500,15,15,---,---,5.5,6,very bright,very bright,medium
Prosopis tamarugo,18,32,150,250,18,18,---,---,7,8,very bright,very bright,"medium, light"
Prosopis velutina,23,28,500,800,-,-,---,---,5.5,6.5,very bright,very bright,medium
Prunus avium,18,28,500,900,-,40,---,---,5.5,6.5,very bright,very bright,"heavy, medium"
Prunus capuli,10,22,400,1800,24,20,---,---,5.5,6.5,clear skies,very bright,"medium, light"
Prunus cerasus,15,25,800,1600,45,30,---,---,6,6.5,very bright,clear skies,medium
Prunus mume,18,34,800,1000,20,10,---,---,5,6.5,very bright,clear skies,medium
Prunus salicina,18,34,750,900,10,20,---,---,5.5,6.5,very bright,very bright,"medium, light"
Psathyrostachys juncea,9,22,500,900,40,-,---,---,6,7,very bright,clear skies,"heavy, medium"
Psidium friedrichsthalianum,22,28,1200,1600,8,-,---,---,6.5,7.2,very bright,clear skies,medium
Psoralea patens,20,28,450,750,10,10,---,---,7,7.5,clear skies,clear skies,light
Pterocarpus angolensis,15,32,700,1500,10,5,---,---,5.5,7,very bright,very bright,"medium, light"
Pterocarpus dalbergioides,22,32,3000,3500,5,-,---,---,5.5,6.5,very bright,clear skies,"heavy, medium, light"
Pterocarpus erinaceus,22,32,800,1600,-,-,---,---,5,5.5,very bright,very bright,medium
Pterocarpus lucens,15,32,400,700,5,-,---,---,5.5,7,very bright,very bright,light
Pterocarpus macrocarpus,24,34,1500,2500,10,10,---,---,5.5,6.5,very bright,very bright,medium
Pterocarpus marsupium,22,32,1000,1500,10,10,---,---,6,7,very bright,very bright,"medium, light"
Pterocarpus santalinus,26,32,1000,1900,5,5,---,---,5,5.5,very bright,very bright,"medium, light"
Puccinellia tenuiflora,16,26,300,500,35,35,---,---,7,8,very bright,very bright,medium
Pyrus pyrifolia,17,25,600,900,30,-,---,---,5.5,6.5,very bright,very bright,light
Quercus agrifolia,10,30,500,1000,32,30,---,---,5.5,6.5,cloudy skies,very bright,"medium, organic"
Quercus alba,12,28,900,1300,32,30,---,---,5.5,7,clear skies,very bright,medium
Quercus bicolor,15,28,750,1200,35,33,---,---,6.5,7.5,cloudy skies,clear skies,"heavy, medium, light, wide, organic"
Quercus dilatata,15,25,1500,2000,30,30,---,---,5,6,very bright,light shade,"heavy, medium, light"
Quercus ilex,14,32,450,700,-,-,---,---,6,7,very bright,cloudy skies,"medium, light"
Quercus incana,15,25,1500,2500,25,25,---,---,5,6,very bright,light shade,"medium, light"
Quercus lamellosa,15,25,3000,4000,20,20,---,---,5.5,6.5,very bright,light shade,"medium, light"
Quercus lanuginosa,15,25,2000,2500,25,25,---,---,5.5,6.5,very bright,clear skies,medium
Quercus lineata,15,25,3000,4000,-,-,---,---,7,7.5,very bright,light shade,"medium, light"
Quercus robur,10,18,600,950,45,38,---,---,-,-,cloudy skies,very bright,"heavy, medium, organic"
Quercus semecarpifolia,12,22,800,2000,25,25,---,---,5.5,6.5,very bright,very bright,"medium, light"
Quercus suber,14,32,600,1000,30,30,---,---,5.5,7,very bright,very bright,"medium, light"
Quercus virginiana,18,32,1200,1800,5,5,---,---,6,7,very bright,very bright,light
Raphanus caudatus,12,26,1000,1500,-,-,---,---,6,6.5,very bright,clear skies,"medium, light"
Raphia hookeri,24,30,3000,4000,-,-,---,---,5,6,very bright,clear skies,"heavy, medium, light"
Rauvolfia serpentina,22,30,1500,3500,-,-,---,---,5.5,7,cloudy skies,light shade,medium
Rhamnus prinoides,14,22,600,1000,-,-,---,---,5.5,6.5,clear skies,very bright,"heavy, medium, organic"
Rhynchosia minima,22,34,550,1000,5,-,---,---,7,7.5,clear skies,clear skies,heavy
Ribes hirtellum,10,22,800,1200,-,-,---,---,6.5,7.5,very bright,clear skies,"heavy, medium"
Ribes nigrum,17,25,700,900,50,45,---,---,6.5,7.5,very bright,clear skies,medium
Ribes rubrum,10,22,800,1200,-,-,---,---,6.5,7.5,very bright,clear skies,"heavy, medium"
Ribes sativum,13,23,500,800,-,-,---,---,6,6.5,very bright,clear skies,"heavy, medium"
Ribes uva-crispa,15,25,900,1300,45,40,---,---,6,7,very bright,clear skies,heavy
Ricinodendron heudelotii,20,30,800,4000,-,-,---,---,5.5,6.5,clear skies,very bright,"heavy, medium"
Ricinodendron rautanenii,18,30,500,800,15,13,---,---,6.5,8,very bright,very bright,"medium, light"
Robinia pseudoacacia,15,32,450,700,34,30,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Roseodendron donnell-smithii,23,31,1500,2500,13,13,---,---,5.5,6.5,very bright,very bright,"medium, light"
Rosmarinus officinalis,18,30,600,1400,35,30,---,---,6,7.5,very bright,very bright,"medium, light"
Rubus occidentalis,14,20,700,1100,-,-,---,---,6,7,very bright,clear skies,"medium, organic"
Rubus occidentalis x idaeus,15,20,700,1100,-,-,---,---,6,7,very bright,clear skies,"medium, organic"
Rumex crispus,14,18,800,1000,30,-,---,---,5.5,6.5,very bright,clear skies,"heavy, medium"
Rumex obtusifolius,14,18,1300,1700,35,-,---,---,6,6.5,very bright,cloudy skies,"heavy, medium"
Ruta graveolens var. bracteosa,17,26,500,1500,30,-,---,---,6.5,7.5,very bright,very bright,light
Saccharum barberi,20,32,1200,1500,-,-,---,---,5,6,very bright,very bright,"heavy, medium"
Saccharum sinense,20,32,1000,1500,-,-,---,---,5,6,very bright,very bright,"heavy, medium"
Sageraea elliptica,22,30,3000,3500,5,5,---,---,5,6,very bright,cloudy skies,medium
Sagittaria sagittifolia,16,24,900,1200,45,42,---,---,6,7.5,clear skies,clear skies,medium
Salacca wallichiana,22,32,2500,3000,11,10,---,---,5,6,cloudy skies,light shade,"heavy, medium"
Salacca zalacca,22,30,1700,3100,-,-,---,---,5,6,cloudy skies,light shade,light
Salicornia bigelovii,10,25,-,-,15,15,---,---,-,-,very bright,very bright,"medium, light"
Salix babylonica var. sacramenta,21,26,1000,1300,25,25,---,---,6.5,7.5,very bright,clear skies,"medium, light"
Salix flavida,15,25,300,600,40,40,---,---,7,8,very bright,very bright,light
Salvadora persica,15,30,300,700,20,-,---,---,7,8,very bright,very bright,"heavy, medium, light, wide"
Salvia sclarea,17,30,900,1700,30,25,---,---,6,7,very bright,very bright,"heavy, medium, light"
Sambucus canadensis,15,20,600,1200,20,10,---,---,6,6.5,very bright,clear skies,medium
Sambucus cerulea,15,20,900,1500,25,20,---,---,6,7,very bright,clear skies,"heavy, medium, light"
Sanguisorba minor,13,22,500,800,35,25,---,---,6.5,7.5,very bright,clear skies,"heavy, medium, light"
Sansevieria guineensis,20,30,700,1400,5,5,---,---,6.5,7.5,very bright,cloudy skies,medium
Santalum acuminatum,18,25,250,400,20,20,---,---,7,8,very bright,clear skies,medium
Santalum album,22,30,800,1400,-,-,---,---,6,7,very bright,very bright,"medium, light"
Santalum spicatum,32,38,200,400,22,22,---,---,5.5,6.5,very bright,very bright,"medium, light"
Sapindus emarginatus,32,40,1000,2000,5,5,---,---,6,6.5,very bright,very bright,"medium, light"
Sapium sebiferum,20,28,700,1500,25,10,---,---,6,7,very bright,cloudy skies,"heavy, medium, light"
Satureja hortensis,20,26,500,800,30,20,---,---,6,7,very bright,very bright,medium
Satureja montana,13,30,1000,1400,25,25,---,---,6.5,7,very bright,clear skies,light
Sauropus androgynus,26,35,900,1200,-,-,---,---,6,7,very bright,clear skies,"heavy, medium"
Schinus molle,20,28,400,500,20,15,---,---,6.5,7.5,very bright,very bright,"medium, light"
Schizolobium parahybum,20,26,1200,1600,23,23,---,---,5.5,6.5,very bright,very bright,"heavy, medium"
Schizomeria ovata,16,28,1300,1700,18,18,---,---,5,6.5,very bright,clear skies,"heavy, medium, light"
Schleichera oleosa,30,42,1200,2300,5,-,---,---,5.5,6.5,very bright,cloudy skies,"medium, light"
Scirpus lacustris,14,22,550,1200,35,18,---,---,6,7,clear skies,very bright,"heavy, medium, light, wide, organic"
Sclerocarya caffra,25,30,700,1200,-,-,---,---,5.5,6.5,very bright,very bright,"heavy, medium, light"
Secale montanum,13,19,350,450,25,25,---,---,6.5,7.5,very bright,clear skies,"heavy, medium"
Sehima nervosum,22,28,500,1000,-,-,---,---,6,7,very bright,cloudy skies,"heavy, medium"
Serenoa repens,15,25,1000,1200,26,26,---,---,5.5,7,very bright,very bright,"medium, light"
Sesbania bispinosa,18,30,700,1200,-,-,---,---,5.5,7,very bright,clear skies,"heavy, medium"
Sesbania cannabia,18,26,800,1200,-,-,---,---,5,7,very bright,clear skies,"heavy, medium"
Sesbania exaltata,18,28,1100,1400,10,10,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Sesbania formosa,22,38,250,1100,15,13,---,---,5,6,very bright,clear skies,"heavy, medium, light"
Sesbania macrantha var. levis,22,28,900,1100,-,-,---,---,7,8,very bright,very bright,"heavy, medium, light"
Sesbania macrantha var. macrantha,18,28,1300,1700,20,-,---,---,7,7.5,very bright,very bright,"heavy, medium, light"
Sesbania pachycarpa,18,26,800,1200,-,-,---,---,8,8.5,very bright,very bright,"heavy, medium"
Sesbania sesban,18,28,800,2000,-,-,---,---,5,7,very bright,clear skies,"heavy, medium, light"
Setaria italica,16,26,500,700,-,-,---,---,6,6.8,very bright,cloudy skies,"medium, light"
Setaria sphacelata cv. Kazungula,22,28,1200,1600,10,-,---,---,5.5,6.5,very bright,cloudy skies,light
Setaria sphacelata cv. Nandi,20,25,1000,1400,-,-,---,---,5.5,6.5,very bright,cloudy skies,medium
Setaria sphacelata cv. Narok,20,25,1200,1600,-,-,---,---,5.5,6.5,very bright,cloudy skies,medium
Shorea assamica,22,28,2800,3500,-,-,---,---,4.5,5,very bright,clear skies,"heavy, medium"
Shorea robusta,28,34,1500,3500,5,-,---,---,5,6.7,very bright,clear skies,"medium, light"
Shorea talura,27,35,1000,1500,-,-,---,---,5.5,6,very bright,very bright,medium
Shorea tumbuggaia,25,35,800,900,5,5,---,---,5.5,6,very bright,clear skies,"medium, light"
Silybum marianum,22,35,400,600,-,-,---,---,-,-,very bright,very bright,"medium, light"
Simarouba glauca,22,29,2000,3000,12,12,---,---,6,8,cloudy skies,very bright,"medium, light"
Simmondsia chinensis,21,36,250,800,25,23,---,---,6.5,7.5,very bright,very bright,"medium, light"
Sinapis alba,10,25,700,1100,30,20,---,---,6.5,7.5,clear skies,cloudy skies,medium
Sloanea woollsii,18,28,1300,1700,26,26,---,---,5,6.5,very bright,clear skies,medium
Solanum aethiopicum,20,30,1200,1600,-,-,---,---,5.5,7,very bright,very bright,"medium, organic"
Solanum ferox,24,30,1200,2000,-,-,---,---,5.5,7,very bright,light shade,"heavy, medium, light"
Solanum hyporhodium,18,26,800,1100,-,-,---,---,6.8,7.2,very bright,very bright,light
Solanum incanum,20,26,700,1000,-,-,---,---,6.5,7.5,very bright,very bright,"heavy, medium, light, organic"
Solanum oleraceum,18,26,1000,1600,-,-,---,---,6.5,7.5,very bright,clear skies,"heavy, medium, light, organic"
Solanum macrocarpon,20,26,700,1000,-,-,---,---,6.5,7.5,very bright,very bright,"heavy, medium, light, organic"
Solanum x juzepczukii,6,14,600,1200,-,-,---,---,6,7,very bright,clear skies,"medium, organic"
Solenostemon rotundifolius,17,27,1800,2600,5,-,---,---,6.5,7.5,very bright,clear skies,"medium, light"
Sonneratia apetala,20,30,1650,1800,-,-,---,---,6.8,7.2,very bright,clear skies,heavy
Sorbus domestica,12,25,700,1500,25,20,---,---,6,8,clear skies,very bright,"heavy, medium, light"
Sorghum x drummondii,21,33,600,900,-,-,---,---,6,7,very bright,very bright,"heavy, medium"
Soymida febrifuga,32,40,800,1300,5,5,---,---,5.5,6.5,very bright,very bright,"medium, light"
Spartium junceum,15,22,600,900,30,25,---,---,6,7,very bright,cloudy skies,light
Sphenostylis stenocarpa,23,29,1000,1200,-,-,---,---,5.5,6,very bright,very bright,light
Spodiopogon sibiricus,8,25,500,700,35,35,---,---,4.5,5.5,light shade,clear skies,"medium, light"
Spondias purpurea,22,28,800,1100,5,-,---,---,6,7,very bright,very bright,medium
Sporobolus airoides,17,25,700,1100,25,25,---,---,7,7.5,very bright,very bright,"medium, light"
Stachys affinis,17,23,800,900,30,30,---,---,6,6.5,very bright,clear skies,"medium, light"
Stephegyne parvifolia,20,35,1500,2500,15,15,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Sterculia campanulata,26,32,3000,3800,-,-,---,---,5.5,6.5,very bright,very bright,medium
Sterculia urens,30,42,750,1250,-,-,---,---,6,7,very bright,very bright,light
Sterculia villosa,30,42,1300,1900,-,-,---,---,6.5,7.5,very bright,very bright,light
Stereospermum suaveolens,24,32,1200,2500,15,15,---,---,6,7,very bright,clear skies,"heavy, medium, light"
Stevia rebaudiana,18,30,1000,1400,15,-,---,---,5,6.5,very bright,clear skies,light
Stipa barbata,20,25,300,700,30,30,---,---,7,7.5,very bright,very bright,"heavy, medium, light"
Stipa lagascae,20,25,400,500,30,30,---,---,7,7.5,very bright,very bright,light
Stipa parviflora,20,25,400,500,20,20,---,---,7,7.5,very bright,very bright,light
Stipa tenacissima,15,25,200,500,35,35,---,---,7,7.5,very bright,clear skies,light
Stripa baicalensis,8,27,400,600,35,35,---,---,5,7.5,very bright,clear skies,"medium, organic"
Stripa breviflora,18,30,150,300,35,35,---,---,7,8,very bright,clear skies,"medium, light"
Stripa capillata,18,26,200,400,35,35,---,---,7,8,very bright,clear skies,"medium, light"
Stripa glareosa,12,30,150,400,35,35,---,---,6.5,7.5,very bright,cloudy skies,"medium, light"
Stripa gobica,12,22,150,300,35,35,---,---,6.5,7.5,very bright,very bright,"heavy, medium, light"
Stripa grandis,17,28,200,600,35,35,---,---,6.5,8,very bright,clear skies,"medium, organic"
Stripa Krylovii,8,15,300,400,35,35,---,---,7,8,very bright,very bright,"medium, light"
Strychnos cocculoides,16,28,700,1200,-,-,---,---,5.5,7.5,very bright,very bright,"heavy, medium, light, wide"
Strychnos innocua,19,31,500,900,-,-,---,---,5.5,6.5,very bright,very bright,"medium, light"
Strychnos spinosa,20,28,700,1000,-,-,---,---,5,7,very bright,very bright,light
Stylosanthes capitata,22,30,1000,2500,-,-,---,---,4.5,5,very bright,very bright,"medium, light"
Stylosanthes erecta,23,30,1600,1900,-,-,---,---,5,6,very bright,very bright,light
Stylosanthes fruticosa,25,30,400,800,10,-,---,---,6.5,7.5,clear skies,very bright,light
Stylosanthes guianensis var. guianensis,18,28,900,2500,-,-,---,---,4.5,6,clear skies,very bright,"medium, light"
Stylosanthes guianensis var. intermedia,15,28,700,1500,12,18,---,---,6,7,very bright,very bright,"medium, light"
Stylosanthes humilis,25,32,700,1800,3,-,---,---,4.5,6.5,very bright,very bright,"medium, light"
Stylosanthes macrocephala,22,30,1000,2500,12,-,---,---,4.5,5.5,very bright,very bright,"medium, light"
Stylosanthes scabra,20,30,700,1600,5,-,---,---,5,6,clear skies,very bright,"medium, light"
Syncarpia glomulifera,18,28,1300,1700,16,16,---,---,5.5,6.5,very bright,clear skies,medium
Syncarpia hillii,20,30,1100,1700,25,25,---,---,5,6,very bright,clear skies,light
Syzygium cordatum,15,25,750,1200,-,-,---,---,5.5,7,very bright,very bright,"heavy, medium, light"
Syzygium guineense,15,30,1000,2300,-,-,---,---,5.5,7,very bright,very bright,medium
Tamarix aphylla,27,40,300,400,20,25,---,---,6.5,7.5,very bright,very bright,"medium, light"
Tamarix chinensis,20,38,400,750,-,-,---,---,6.5,8,very bright,very bright,light
Taraxacum officinale,14,22,500,1000,40,-,---,---,5,6.5,very bright,cloudy skies,"heavy, medium, light"
Tarchonanthus camphoratus,17,33,300,600,-,-,---,---,5.5,6.5,very bright,very bright,"heavy, medium, light"
Telfairia occidentalis,21,30,1900,2200,-,-,---,---,5,6,very bright,light shade,"medium, organic"
Telfairia pedata,23,28,1500,2000,-,-,---,---,5.5,6,very bright,cloudy skies,"heavy, medium, light"
Teramnus labialis,17,27,750,1500,10,-,---,---,6,8,cloudy skies,very bright,"heavy, medium, light, wide"
Terminalia arjuna,20,33,1000,1500,5,5,---,---,5.5,6,very bright,clear skies,medium
Terminalia arostrata,22,38,400,650,14,14,---,---,5,6,very bright,clear skies,heavy
Terminalia chebula,22,35,1000,1700,-,-,---,---,5.5,6.5,very bright,clear skies,"heavy, medium, light"
Terminalia ivorensis,24,30,1600,2700,4,4,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Terminalia myriocarpa,22,32,3000,4000,10,10,---,---,5,6,very bright,cloudy skies,medium
Terminalia paniculata,22,30,2000,3000,-,-,---,---,5.5,6.5,very bright,clear skies,"heavy, medium, light"
Terminalia sericocarpa,22,38,850,1900,12,10,---,---,5.5,6.5,very bright,clear skies,light
Terminalia tomentosa,22,35,1000,2000,-,-,---,---,5.5,6.5,very bright,very bright,"heavy, medium"
Terminalia volucris,22,38,600,850,14,12,---,---,5,6,very bright,very bright,heavy
Tetragonia tetragonioides,19,28,900,1200,20,-,---,---,6.5,7,very bright,very bright,"light, organic"
Tetrapleura tetraptera,25,30,1700,3000,5,5,---,---,4.5,6.5,clear skies,very bright,"medium, light"
Thaumatococcus daniellii,21,30,1700,2300,5,5,---,---,4.5,5,very bright,clear skies,"heavy, medium"
Themeda quadrivalis,22,28,700,1500,17,17,---,---,7,8.5,very bright,very bright,medium
Theobroma bicolor,22,28,1500,2000,-,-,---,---,5,6,clear skies,light shade,"heavy, medium, light, organic"
Theobroma grandiflorum,22,32,2000,2400,-,-,---,---,5,6.5,clear skies,light shade,"heavy, medium, light, organic"
Thymus serpyllum,11,22,700,900,-,-,---,---,5,6,very bright,very bright,light
Thyrsostachys siamensis,20,29,1000,2000,15,-,---,---,6,6.5,clear skies,cloudy skies,heavy
Tilia cordata,12,22,500,700,45,40,---,---,6.5,7.5,clear skies,very bright,medium
Toona ciliata,18,34,1100,3000,17,15,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Toona serrata,30,38,1200,2500,10,-,---,---,4.5,5.5,very bright,clear skies,"medium, light"
Trachyspermum ammi,16,24,800,1000,-,-,---,---,6.5,7.5,very bright,clear skies,medium
Trewia nudiflora,25,37,2000,4000,10,10,---,---,5.5,6.5,very bright,clear skies,"medium, light"
Trifolium agrarium,14,18,600,1000,45,40,---,---,5,6.2,very bright,very bright,"medium, light"
Trifolium alexandrinum,16,27,450,900,20,-,---,---,6.5,7,very bright,clear skies,"heavy, medium"
Trifolium ambiguum,10,17,800,1000,40,30,---,---,5.5,6,very bright,clear skies,"heavy, medium"
Trifolium arvense,9,16,700,900,45,40,---,---,6.2,6.8,clear skies,cloudy skies,light
Trifolium campestre,12,18,700,900,35,29,---,---,6,6.5,very bright,very bright,"medium, light"
Trifolium cherlei,15,25,400,600,30,-,---,---,6.5,7.5,very bright,clear skies,"medium, light"
Trifolium dubium,12,18,700,900,38,35,---,---,6,6.5,very bright,very bright,"medium, light"
Trifolium fragiferum,12,22,600,900,35,30,---,---,6.5,7,very bright,cloudy skies,"heavy, medium"
Trifolium hirtum,15,24,450,800,20,20,---,---,6.5,7,very bright,cloudy skies,"medium, light"
Trifolium hybridum,12,20,700,900,50,45,---,---,5.5,6.5,very bright,clear skies,"heavy, medium"
Trifolium incarnatum,13,22,700,1000,35,10,---,---,6,7,very bright,clear skies,"heavy, medium, light"
Trifolium medium,8,16,600,800,45,40,---,---,6,7,very bright,cloudy skies,"medium, light"
Trifolium michelianum,20,25,400,700,32,30,---,---,6.5,7.5,clear skies,very bright,"heavy, medium"
Trifolium nigrescens,16,22,1000,1200,25,25,---,---,5.5,6.5,very bright,clear skies,"heavy, medium"
Trifolium pilulare,12,22,400,600,30,30,---,---,5.6,7.5,very bright,clear skies,"medium, light"
Trifolium resupinatum,13,22,600,900,20,20,---,---,6,7,very bright,cloudy skies,"heavy, medium"
Trifolium rueppellianum,12,26,1000,1900,-,-,---,---,5,7,clear skies,very bright,"heavy, medium"
Trifolium subterraneum,15,25,500,1000,30,25,---,---,5.5,6.5,cloudy skies,very bright,light
Trifolium tomentosum,12,22,500,700,30,30,---,---,6.5,7.5,very bright,clear skies,"medium, light"
Trifolium variegatum,14,19,800,1000,-,-,---,---,6,6.5,very bright,cloudy skies,"heavy, medium, light"
Trifolium vesiculosum,15,21,900,1100,30,30,---,---,6,7,very bright,clear skies,"heavy, medium, light"
Trigonella foenum-graecum,13,27,600,800,30,-,---,---,7,7.5,very bright,clear skies,"medium, light"
Triplochiton scleroxylon,24,30,1600,2400,-,-,---,---,5.5,6.5,very bright,very bright,"medium, light"
Tripsacum andersonii,22,30,1500,2000,-,-,---,---,4,4.5,very bright,cloudy skies,"medium, organic"
Tripsacum dactyloides,10,24,800,1300,-,-,---,---,6,7,cloudy skies,very bright,"heavy, medium, light, wide"
Tristania conferta,18,28,1100,1500,16,16,---,---,5,6.5,very bright,clear skies,"heavy, medium"
Triticum compactum,10,16,600,900,-,-,---,---,6.5,7.5,very bright,clear skies,"medium, light"
Triticum dicoccon,15,20,500,900,-,-,---,---,5.5,6.8,very bright,clear skies,light
Triticum durum,17,25,500,700,20,10,---,---,6,7,very bright,very bright,"heavy, medium"
Triticum spelta,10,17,700,1000,-,-,---,---,6.5,7.5,very bright,clear skies,light
Tylosema esculentum,22,30,150,800,-,-,---,---,5.5,7,clear skies,very bright,light
Typha angustifolia,10,24,500,1500,36,32,---,---,4.5,8,clear skies,very bright,"heavy, organic"
Typha domingensis,16,28,400,1400,22,20,---,---,6.5,7.5,clear skies,very bright,"heavy, medium, organic"
Typha latifolia,10,25,500,1500,30,27,---,---,4.5,7.5,clear skies,very bright,heavy
Uapaca kirkiana,18,24,700,1500,-,-,---,---,4.5,6,very bright,clear skies,light
Uncaria gambir,25,32,2200,2400,-,-,---,---,6,7,cloudy skies,light shade,"medium, organic"
Urochloa mosambicensis,15,28,500,1300,4,-,---,---,5.5,7,very bright,clear skies,"medium, light"
Urochloa oligotricha,25,32,700,1500,10,-,---,---,6.5,7.5,very bright,cloudy skies,"medium, light"
Urochloa panicoides,25,40,700,1000,-,-,---,---,7,7.5,cloudy skies,light shade,"heavy, medium, light"
Urtica dioica,12,22,600,2000,22,20,---,---,7,8.5,cloudy skies,very bright,"heavy, medium, organic"
Vaccinium angustifolium,13,20,600,900,40,40,---,---,4.2,5.2,cloudy skies,light shade,"medium, organic"
Vaccinium corymbosum,18,30,900,1100,30,30,---,---,4,5,clear skies,very bright,"medium, organic"
Vaccinium macrocarpon,16,24,600,1000,40,40,---,---,5,5.5,very bright,clear skies,"medium, light"
Vaccinium myrtillus,8,17,500,700,45,40,---,---,4.5,6,cloudy skies,very bright,"light, organic"
Vangueria infausta,17,28,800,1200,-,-,---,---,5.5,7,cloudy skies,very bright,"medium, light"
Vangueria madagascariensis,17,29,800,1500,-,-,---,---,5.5,7,very bright,very bright,"heavy, medium"
Vateria indica,24,33,2500,3000,5,5,---,---,5,6,very bright,cloudy skies,"light, organic"
Ventilago viminalis,22,36,400,600,18,16,---,---,5.5,7.5,very bright,very bright,"heavy, medium, light"
Vernonia amygdalina,20,26,750,2000,-,-,---,---,5.5,7,very bright,very bright,light
Vicia benghalensis,18,24,700,900,30,-,---,---,6.5,7,very bright,clear skies,"heavy, medium"
Vicia monantha,10,18,500,700,35,30,---,---,6,7,very bright,cloudy skies,"medium, light"
Vicia narbonensis,10,24,400,800,-,-,---,---,6.5,7,very bright,cloudy skies,"medium, light"
Vicia pannonica,10,17,500,700,30,30,---,---,6.5,7.5,very bright,clear skies,heavy
Vicia villosa ssp. dasycarpa,10,24,500,700,38,35,---,---,6,7,very bright,clear skies,"medium, light"
Vigna hosei,22,30,3000,3500,-,-,---,---,4.5,5,clear skies,light shade,"heavy, medium, light"
Vigna luteola,20,30,1200,2500,-,-,---,---,5,7.5,very bright,clear skies,"medium, light"
Vigna parkeri,12,27,1200,2500,-,-,---,---,5,6,cloudy skies,very bright,"medium, light"
Vigna subterranea,19,30,750,1400,-,-,---,---,5,6.5,very bright,very bright,light
Vigna trilobata,22,31,700,900,5,-,---,---,7,8.5,cloudy skies,very bright,"heavy, medium"
Vigna unguiculata ssp. sesquipedalis,20,35,1500,2000,20,-,---,---,5.5,7,very bright,very bright,"heavy, medium"
Vigna unguiculata ssp. unguiculata,20,35,600,1500,-,-,---,---,5.5,7.5,very bright,clear skies,medium
Vigna vexillata,20,28,1300,2100,-,-,---,---,5.5,6.5,very bright,very bright,light
Vitellaria paradoxa,24,38,500,1000,10,-,---,---,6,7,very bright,very bright,"heavy, medium, light, wide, organic"
Vitex agnus-castus,12,22,400,900,26,24,---,---,6.5,7.5,clear skies,very bright,"medium, organic"
Vitex doniana,14,28,750,2000,-,-,---,---,5.5,7,very bright,very bright,wide
Vitex keniensis,15,20,1800,2200,-,-,---,---,5.5,7,clear skies,very bright,"medium, light"
Vitex parviflora,22,28,700,1500,5,5,---,---,5.5,6.5,very bright,very bright,"medium, light"
Vitis labrusca,15,25,900,1100,25,25,---,---,6,6.5,very bright,very bright,"medium, organic"
Vitis rotundifolia,18,32,1400,1600,-,-,---,---,6,7,very bright,very bright,"medium, organic"
Warburgia ugandensis,14,28,1000,1500,-,-,---,---,5.5,6.5,clear skies,very bright,"heavy, medium"
Withania somnifera,18,32,650,750,-,-,---,---,7.5,8,clear skies,very bright,medium
Wrightia tomentosa,22,32,1200,2400,-,-,---,---,5.5,7,very bright,clear skies,light
Xanthosoma brasiliense,22,30,1500,3000,-,-,---,---,5,6,very bright,clear skies,medium
Xylia dolabriformis,24,36,1200,3000,15,15,---,---,6,7,very bright,cloudy skies,medium
Xylia xylocarpa,16,35,1700,4500,10,10,---,---,5,6,very bright,light shade,"medium, light"
Xylocarpus granatum,22,30,2000,3000,-,-,---,---,6.8,7.2,very bright,clear skies,"heavy, medium"
Xylocarpus mekongensis,18,35,2000,4000,-,-,---,---,6.5,7,very bright,clear skies,heavy
Xylocarpus moluccensis,20,35,2500,5000,-,-,---,---,6.5,7,very bright,clear skies,"medium, light"
Yucca elephantipes,18,32,1000,1600,10,10,---,---,5,6,very bright,cloudy skies,"medium, light"
